,Kitchen_waste_,Fruit_and_vegetable_waste_,Bread_Paste_,Waste_oil_,Total_Waste_,Diesel_waste_water_,Flour_and_waste_oil_,Kitchen_waste_paste_,1_acidification_hydrolysis_tank_feed_,1_acidification_hydrolysis_tank_discharge_,2_acidification_hydrolysis_tank_feed_,2_acidification_hydrolysis_tank_discharge_,1_Anaerobic_tank_slurry_feed_,1_Anaerobic_tank_biogas_cumulative_production_,1_anaerobic_tank_biogas_daily_output_,2_Anaerobic_tank_slurry_feed_,2_anaerobic_tank_biogas_cumulative_production_,2_anaerobic_tank_biogas_daily_output_,acid_feed,acid_discharge,anaerobic_feed,anaerobic_cumuprod,anaerobic_dailyoutput
438,98.96,32.86,0.0,9.79,131.82,0.0,0.0,101.0,0.0,220.0,0.0,0.0,110.0,1347050.0,4044.0,110.0,1646549.0,4152.0,0.0,220.0,220.0,2993599.0,8196.0
439,86.92,32.11,0.0,11.71,119.03,44.0,0.0,89.0,0.0,120.0,0.0,0.0,60.0,1349597.0,2547.0,60.0,1649272.0,2723.0,0.0,120.0,120.0,2998869.0,5270.0
440,158.93,33.02,0.0,9.1,191.95,0.0,0.0,160.0,0.0,280.0,0.0,0.0,140.0,1352865.0,3268.0,140.0,1652837.0,3365.0,0.0,280.0,280.0,3005702.0,6633.0
441,165.3,42.28,0.0,12.79,207.58,0.0,0.0,166.0,0.0,170.0,0.0,0.0,150.0,1357376.0,4511.0,20.0,1655794.0,2957.0,0.0,170.0,170.0,3013170.0,7468.0
442,165.17,49.64,0.0,9.36,214.81,0.0,33.0,166.0,0.0,170.0,0.0,0.0,170.0,1362665.0,5289.0,0.0,1656862.0,1068.0,0.0,170.0,170.0,3019527.0,6357.0
443,158.85,31.19,0.0,12.17,190.04,0.0,0.0,159.0,0.0,180.0,0.0,0.0,140.0,1367604.0,4939.0,40.0,1658276.0,1414.0,0.0,180.0,180.0,3025880.0,6353.0
444,187.27,34.05,0.0,13.09,221.32,43.0,0.0,187.0,0.0,210.0,0.0,0.0,90.0,1372736.0,5132.0,120.0,1662736.0,4460.0,0.0,210.0,210.0,3035472.0,9592.0
445,119.29,40.91,0.0,14.76,160.2,22.0,100.0,121.0,0.0,140.0,0.0,0.0,70.0,1376802.0,4066.0,70.0,1667464.0,4728.0,0.0,140.0,140.0,3044266.0,8794.0
446,104.52,42.57,0.0,18.4,147.09,0.0,0.0,107.0,0.0,160.0,0.0,0.0,80.0,1381420.0,4618.0,80.0,1671543.0,4079.0,0.0,160.0,160.0,3052963.0,8697.0
447,187.43,50.37,0.0,13.77,237.8,0.0,0.0,187.0,0.0,220.0,0.0,0.0,145.0,1385277.0,3857.0,75.0,1675238.0,3695.0,0.0,220.0,220.0,3060515.0,7552.0
448,198.81,40.39,0.0,13.15,239.2,22.0,0.0,198.0,0.0,210.0,0.0,0.0,15.0,1388623.0,3346.0,195.0,1679780.0,4542.0,0.0,210.0,210.0,3068403.0,7888.0
449,182.13,42.1,0.0,13.44,224.23,44.0,70.0,182.0,0.0,180.0,0.0,0.0,0.0,1390120.0,1497.0,180.0,1686416.0,6636.0,0.0,180.0,180.0,3076536.0,8133.0
450,169.36,53.24,0.0,12.33,222.6,0.0,44.0,170.0,0.0,170.0,0.0,0.0,0.0,1390725.0,605.0,170.0,1693112.0,6696.0,0.0,170.0,170.0,3083837.0,7301.0
451,160.21,42.68,0.0,12.69,202.89,0.0,0.0,161.0,0.0,200.0,0.0,0.0,0.0,1391260.0,535.0,200.0,1700103.0,6991.0,0.0,200.0,200.0,3091363.0,7526.0
452,120.81,41.32,0.0,13.73,162.13,0.0,22.0,122.0,0.0,210.0,0.0,0.0,0.0,1391652.0,392.0,210.0,1707047.0,6944.0,0.0,210.0,210.0,3098699.0,7336.0
453,94.81,43.85,0.0,13.0,138.66,0.0,22.0,97.0,0.0,230.0,0.0,0.0,0.0,1391893.0,241.0,230.0,1713785.0,6738.0,0.0,230.0,230.0,3105678.0,6979.0
454,157.44,49.06,0.0,10.71,206.5,44.0,60.0,158.0,0.0,220.0,0.0,0.0,0.0,1391893.0,240.0,220.0,1720171.0,6386.0,0.0,220.0,220.0,3112064.0,6626.0
455,202.08,43.67,0.0,11.46,245.75,22.0,22.0,202.0,0.0,230.0,0.0,0.0,0.0,1392129.0,236.0,230.0,1726928.0,6757.0,0.0,230.0,230.0,3119057.0,6993.0
